Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
BRR122VM,BRR122VM,brr.local,"March 6, 2021 11:13:46 PM","BRR\daniel (Since: Mar 3, 2021 12:35:40 PM)","March 6, 2021 4:01:04 AM",12.229.222.18/192.168.0.189;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,2912-9345-3096-6231-5548-8917-17,Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (49GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:94:0A (Primary),0,0,0,0,1,0,0,2,0,0
BRR123VM,BRR123VM,brr.local,"March 6, 2021 11:13:46 PM","BRR\ryan (Since: Mar 5, 2021 1:20:29 PM)","March 6, 2021 4:00:54 AM",12.229.222.18/192.168.0.190;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,6218-1050-7363-0660-9574-4754-58,Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (49GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:94:09 (Primary),0,0,0,0,1,0,0,2,0,0
BRR124,BRR124,brr.local,"March 6, 2021 11:13:46 PM","BRR\Lloyd (Since: Mar 5, 2021 10:16:59 AM)","March 6, 2021 4:00:50 AM",12.229.222.18/192.168.0.116;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83EE ,HP ProDesk 600 G4 SFF,MXL91642DN,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,"SK hynix BC501 HFM256GDJTNG-8310A (238GB),WDC WD10EZEX-60M2NA0 (931GB)",hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,F4:39:09:17:90:46 (Primary),0,0,0,0,1,0,0,2,0,2
BRR125,BRR125,brr.local,"March 6, 2021 11:13:46 PM","BRR\paul (Since: Mar 5, 2021 12:14:13 PM)","March 6, 2021 4:00:48 AM",12.229.222.18/192.168.0.186;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83EE ,HP ProDesk 600 G4 SFF,MXL91642JG,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SK hynix BC501 HFM256GDJTNG-8310A (238GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,F4:39:09:17:8D:5F (Primary),0,0,0,0,1,0,0,2,0,0
BRR126,BRR126,brr.local,"March 6, 2021 11:13:43 PM","BRR\swallace (Since: Nov 13, 2020 3:12:18 PM)","March 6, 2021 4:00:44 AM",12.229.222.18/192.168.0.179;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83EE ,HP ProDesk 600 G4 SFF,MXL91642LT,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SK hynix BC501 HFM256GDJTNG-8310A (238GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,F4:39:09:17:8F:5E (Primary),0,0,0,0,1,0,0,2,0,0
BRR127,BRR127,brr.local,"March 6, 2021 11:13:45 PM","BRR\Receptionist (Since: Mar 5, 2021 8:01:29 AM)","March 6, 2021 4:00:45 AM",12.229.222.18/192.168.0.188;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83EE ,HP ProDesk 600 G4 SFF,MXL91642CP,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SK hynix BC501 HFM256GDJTNG-8310A (238GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,F4:39:09:17:8C:38 (Primary),0,0,0,0,1,0,0,2,0,0
BRR128,BRR128,brr.local,"March 6, 2021 11:13:42 PM","BRR\maryelizabeth (Since: Mar 3, 2021 10:07:58 AM)","March 6, 2021 4:00:45 AM",12.229.222.18/192.168.0.178;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.1379,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83EE ,HP ProDesk 600 G4 SFF,MXL91642FK,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SK hynix BC501 HFM256GDJTNG-8310A (238GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,F4:39:09:17:8B:66 (Primary),0,0,0,0,1,0,0,2,0,0
BRR129,BRR129,brr.local,"March 6, 2021 11:13:42 PM","BRR\will (Since: Mar 5, 2021 7:59:48 AM)","March 6, 2021 4:00:48 AM",12.229.222.18/192.168.0.187;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83EE ,HP ProDesk 600 G4 SFF,MXL91642LY,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Intel(R) Display Audio,SK hynix BC501 HFM256GDJTNG-8310A (238GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,F4:39:09:17:8B:C9 (Primary),0,0,0,0,1,0,0,3,0,0
BRR136,BRR136,brr.local,"March 6, 2021 11:13:45 PM","BRR\Trevor (Since: Mar 5, 2021 12:24:49 PM)","March 6, 2021 4:00:53 AM",12.229.222.18/192.168.0.152;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.804,"Microsoft Office Home & Business 2013, Build  15.0.5319.1000",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 18E4 ,HP EliteDesk 800 G1 TWR,MXL516100V,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz ,15.91 GB,Intel(R) HD Graphics 4600,Realtek High Definition Audio,SanDisk SD7SB3Q-256G-1006 (238GB),hp DVD RAM UJ8E0 SCSI CdRom Device,Intel(R) Ethernet Connection I217-LM,C,8C:DC:D4:3C:89:A9 (Primary),0,0,0,0,1,0,0,2,0,0
BRR137,BRR137,brr.local,"March 6, 2021 11:13:43 PM","BRR\Stephanie (Since: Mar 6, 2021 2:49:49 PM)","March 6, 2021 4:27:59 PM",12.229.222.18/192.168.0.155;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 3396 ,HP Compaq Elite 8300 Convertible Micro,2UA3321P29,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz ,7.95 GB,NVIDIA GeForce GT 630,NVIDIA High Definition Audio,"KINGSTON SV300S37A120G (111GB),ST500DM002-1BD142 (465GB)",hp CDDVDW SH-216BB,Intel(R) 82579LM Gigabit Network Connection,C,88:51:FB:71:AB:52 (Primary),0,0,0,0,1,0,0,2,0,7
BRR135,BRR135,A,"March 6, 2021 11:13:43 PM","BRR135\amber (Since: Mar 5, 2021 4:39:57 PM)","March 6, 2021 4:00:47 AM",24.55.20.64/192.168.1.70;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.804,N/A,Sentinel Agent,Dell Inc.,Dell Inc. 0PC5F7 ,OptiPlex 9020,F500N02,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz ,7.91 GB,AMD Radeon R7 200 Series,Realtek High Definition Audio,LITEONIT LCS-256M6S 2.5 7mm 256GB (238GB),HL-DT-ST DVD+-RW GHB0N,Intel(R) Ethernet Connection I217-LM,C,F8:B1:56:DA:18:0C (Primary),0,0,0,0,1,0,0,0,0,11
BRR138VM,BRR138VM,brr.local,"March 6, 2021 11:13:45 PM","BRR\Fred (Since: Jan 8, 2021 12:58:10 PM)","March 6, 2021 4:01:04 AM",12.229.222.18/192.168.0.142;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1572-0282-6847-6932-5862-3567-45,Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (49GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:94:11 (Primary),0,0,0,0,1,0,0,2,0,0
SCANNER-PC,SCANNER-PC,brr.local,"March 6, 2021 11:13:42 PM","BRR\Scan (Since: Feb 22, 2021 6:50:02 AM)","February 22, 2021 6:48:08 AM",12.229.222.18/192.168.0.111;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,N/A,Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0KWVT8 ,XPS 8700,93RX052,Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz ,7.95 GB,NVIDIA GeForce GT 720,NVIDIA High Definition Audio,WDC WD1003FZEX-00K3CA0 (931GB),PLDS DVD+-RW DH-16AES,"Dell Wireless 1704 802.11b/g/n (2.4GHz),Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network)",C,98:90:96:CB:AF:88 AC:D1:B8:D4:FB:C7 (Primary)AC:D1:B8:D4:FB:C8 ,0,0,0,0,1,0,0,3,0,5
BRR132,BRR132,brr.local,"March 6, 2021 11:13:46 PM","BRR\greg (Since: Mar 5, 2021 9:19:11 AM)","March 6, 2021 4:00:52 AM",12.229.222.18/192.168.0.124;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83E1 ,HP EliteDesk 800 G4 SFF,USH919L6J4,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,USB Audio Device,SK hynix BC501 HFM512GDJTNG-8310A (476GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,10:E7:C6:2F:49:E9 (Primary),0,0,0,0,1,0,0,2,0,3
BRR131,BRR131,brr.local,"March 6, 2021 11:13:43 PM","BRR\Lonnie (Since: Mar 5, 2021 8:24:29 AM)","March 6, 2021 4:00:44 AM",12.229.222.18/192.168.0.126;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83E1 ,HP EliteDesk 800 G4 SFF,USH922L5Y1,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,USB Audio Device,WDC PC SN520 SDAPNUW-512G-1006 (476GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,C8:D9:D2:1E:94:49 (Primary),0,0,0,0,1,0,0,3,0,1
BRR134,BRR134,brr.local,"March 6, 2021 11:13:45 PM","BRR\AnnGleason (Since: Mar 5, 2021 11:08:21 AM)","March 6, 2021 4:00:45 AM",12.229.222.18/192.168.0.125;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83E1 ,HP EliteDesk 800 G4 SFF,USH918L50W,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Synaptics HD Audio,SK hynix BC501 HFM512GDJTNG-8310A (476GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,10:E7:C6:2F:4B:4E (Primary),0,0,0,0,1,0,0,2,0,1
BRR133,BRR133,brr.local,"March 6, 2021 11:13:44 PM","BRR\jasmine (Since: Mar 6, 2021 2:41:49 PM)","March 6, 2021 4:00:48 AM",12.229.222.18/192.168.0.147;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83E1 ,HP EliteDesk 800 G4 SFF,USH923L6K8,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Synaptics HD Audio,SK hynix BC501 HFM512GDJTNG-8310A (476GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,C8:D9:D2:17:7D:6E (Primary),0,0,0,0,1,0,0,2,0,5
BRRLAWEXSRV1,BRRLAWEXSRV1,brrlaw.com,"May 24, 2020 4:40:26 PM","BRRLAW\Administrator (Since: May 24, 2020 12:31:22 AM)","May 23, 2020 10:31:54 PM",64.20.236.27/10.101.201.60;,BRR Law,Server,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,2352-1572-5331-5561-6879-2055-35,Intel(R) Xeon(R) CPU X5650 @ 2.67GHz ,16 GB,Microsoft Hyper-V Video,N/A,"Microsoft Virtual Disk (209GB),Microsoft Virtual Disk (126GB)",Microsoft Virtual DVD-ROM,Microsoft Hyper-V Network Adapter,C,00:15:5D:C9:18:12 (Primary),0,1,1,1,1,0,0,0,0,0
BRRLAWEXDC1,BRRLAWEXDC1,brrlaw.com,"March 6, 2021 11:13:45 PM","BRRLAW\administrator (Since: Aug 11, 2020 10:40:13 PM),BRRLAW\jennifer (Since: Jan 12, 2021 11:12:08 AM),BRRLAW\srwooster (Since: Mar 6, 2021 9:58:53 AM)","August 11, 2020 9:39:10 PM",64.20.236.4/10.101.201.61;,BRR Law,Domain Controller,Microsoft Windows Server 2012 R2 Standard  x64,6.3,9600,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1896-4115-7889-0663-1105-7470-23,Intel(R) Xeon(R) CPU E5-2690 v2 @ 3.00GHz ,4 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (126GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:02:66:16 (Primary),0,0,0,0,1,0,3,66,0,0
BRR130,BRR130,brr.local,"March 6, 2021 11:13:44 PM","BRR\ronda (Since: Mar 5, 2021 11:52:11 AM)","March 6, 2021 4:00:50 AM",12.229.222.18/192.168.0.112;,BRR Law,Work Station,Microsoft Windows 10 Pro  x64,2009,19042.804,"Microsoft Office Standard 2019, Build  16.0.10371.20060",Sentinel Agent,HP,HP 83E1 ,HP EliteDesk 800 G4 SFF,USH840L0JW,Intel(R) Core(TM) i5-8500 CPU @ 3.00GHz ,15.78 GB,Intel(R) UHD Graphics 630,Synaptics HD Audio,WDS500G3X0C-00SJG0 (465GB),hp HLDS DVDRW  GUD1N,Intel(R) Ethernet Connection (7) I219-LM,C,18:60:24:AA:8A:D7 (Primary),0,0,0,0,1,0,0,3,0,4
