Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
okmh0271.OKMH.local,-,Win10,Online,Default Group,N/A
okmh0272.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0273.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0274.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0277.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0279.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0280.OKMH.local,-,Win7,6/13/2019,Default Group,N/A
OKMH0281.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0283.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0284.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0285.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0286.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0287.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0288.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0289.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0291.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0292.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
OKMH0293.OKMH.local,-,Win10,5/6/2020,Default Group,N/A
OKMH0298.OKMH.local,-,Win10,Online,OKMHnoFilrewall,N/A
OKMH0299.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0300.OKMH.local,-,Win10,4/2/2020,Default Group,N/A
OKMH0301.OKMH.local,-,Win10,Online,Default Group,N/A
okmh0302.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0303.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0304.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0305.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0306.OKMH.local,-,Win10,12/30/2019,Default Group,N/A
OKMH0307.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0309.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
OKMH0310.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
OKMH0311.OKMH.local,-,Win10,5/4/2020,Default Group,N/A
OKMH0314.OKMH.local,-,Win10,12/9/2019,Default Group,N/A
OKMH0315.OKMH.local,Needs Restart,Win10,6/20/2019,Default Group,N/A
OKMH0316.OKMH.local,-,Win10,2/15/2020,Default Group,N/A
OKMH0317.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0321.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0322.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0323.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0324.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0325.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0326.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0327.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0328.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0329.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0330.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0461.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0462.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0463.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
OKMH0464.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
OKMH0465.OKMH.local,-,Win10,2/17/2020,Default Group,N/A
OKMH0466.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
OKMH0467.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0468.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0469.OKMH.local,-,Win10,12/9/2019,Default Group,N/A
OKMH0470.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0471.OKMH.local,-,Win10,5/3/2020,Default Group,N/A
OKMH0472.OKMH.local,-,Win10,4/28/2020,Default Group,N/A
OKMH0473.OKMH.local,-,Win10,4/28/2020,Default Group,N/A
OKMH0535.OKMH.local,-,Win10,5/6/2020,Default Group,N/A
OKMH0536.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0537.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
OKMH0538.OKMH.local,-,Win10,Online,Default Group,N/A
OKMH0541.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
OKMH500-KITCHEN.OKMH.local,-,Win10,Online,Default Group,N/A
OKMHCAREERM.OKMH.local,Needs Restart,Win2012,Online,Default Group,N/A
OKMHDC.OKMH.local,-,Win2012,Online,Default Group,N/A
OKMHDC1.OKMH.local,-,Win2008,Online,Default Group,N/A
OKMHDC2.OKMH.local,-,Win2012,Online,Default Group,N/A
OKMHDHCP1.OKMH.local,-,Win2012,Online,Default Group,N/A
OKMHDNS1.OKMH.local,-,Win2008,4/2/2020,Default Group,N/A
OKMHMAGVIEWAPP.OKMH.local,-,Win2012,Online,Default Group,N/A
OKMHMMODAL.OKMH.local,-,Win2008,Online,Default Group,N/A
OKMHPACS.OKMH.local,-,Win2012,Online,Default Group,N/A
OKMHTSYSTEM2012.OKMH.local,-,Win2012,Online,Default Group,N/A
OKMHTSYSTEMSQL.OKMH.local,-,Win2008,Online,Default Group,N/A
RADIOLOGY001.OKMH.local,-,Win10,5/6/2020,Default Group,N/A
REHAB-OKMH00483.OKMH.local,-,Win10,Online,Default Group,N/A
RHC-DOCTOR.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
RHC-Doctor0484.OKMH.local,-,Win10,5/7/2020,Default Group,N/A
