Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
PMC108,PMC108,pmc.local,"May 18, 2020 12:52:32 AM","PMC\jwebb (Since: May 5, 2020 3:47:58 PM)","May 12, 2020 9:35:42 PM",12.177.172.90/10.10.9.126;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 3031h ,HP Compaq dc7900 Small Form Factor,2UA0030VTX,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.81 GB,Intel(R) Q45/Q43 Express Chipset,High Definition Audio Device,WDC WD5003ABYZ-011FA0 ATA Device (465GB),HL-DT-ST DVD-ROM GDRH10N ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,18:A9:05:32:3A:24 (Primary),0,0,0,0,1,0,5,12,0,3
PMC116,PMC116,pmc.local,"May 18, 2020 12:52:34 AM","PMC\jstephens (Since: Apr 28, 2020 11:37:27 AM)","April 27, 2020 4:43:32 PM",12.177.172.90/10.10.9.112;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 3031h ,HP Compaq dc7900 Small Form Factor,2UA9500YNB,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.81 GB,Intel(R) Q45/Q43 Express Chipset (Microsoft Corporation - WDDM 1.1),SoundMAX Integrated Digital HD Audio,WDC WD5003ABYX-01WERA0 ATA Device (465GB),hp DVDROM DH20N ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,18:A9:05:2A:C2:64 (Primary),0,0,0,0,1,0,2,3,0,3
PMC140,PMC140,pmc.local,"May 15, 2020 8:54:03 PM","PMC\jshirey (Since: May 14, 2020 8:12:44 AM)","May 14, 2020 10:19:47 PM",12.177.172.90/10.10.9.119;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1803,17134.858,"Microsoft Office Standard 2010, Build  14.0.7015.1000",Sentinel Agent,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"KINGSTON SA400M8120G (111GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Bluetooth Device (Personal Area Network),Realtek PCIe GBE Family Controller #3",C,20:79:18:B6:DC:B7 (Primary)20:79:18:B6:DC:BB A0:1E:0B:0D:6E:11 ,0,0,0,0,1,0,11,4,1,0
PMC120,PMC120,pmc.local,"May 18, 2020 12:52:34 AM","PMC\satkins (Since: May 13, 2020 9:53:40 AM)","May 14, 2020 9:59:54 PM",12.177.172.90/10.10.9.125;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 3031h ,HP Compaq dc7900 Small Form Factor,2UA94008BW,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.81 GB,Intel(R) Q45/Q43 Express Chipset,SoundMAX Integrated Digital HD Audio,HDS725050KLA360 ATA Device (465GB),hp DVD D  DH16D5S ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,00:25:B3:10:8E:98 (Primary),0,0,0,0,1,0,0,1,0,1
PMC113,PMC113,pmc.local,"May 14, 2020 1:32:03 PM","PMC\tweston (Since: May 13, 2020 3:27:47 PM)","May 13, 2020 8:26:48 PM",12.177.172.90/10.10.9.104;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Dell Inc.,Dell Inc. 0PU052 ,OptiPlex 755,JT8VBG1,Intel(R) Core(TM)2 Duo CPU E8200 @ 2.66GHz ,3.86 GB,Intel(R) Q35 Express Chipset Family,SoundMAX Integrated Digital HD Audio,Hitachi HUA721010KLA330 ATA Device (931GB),TSSTcorp DVD-ROM TS-L333A ATA Device,Intel(R) 82566DM-2 Gigabit Network Connection,C,00:1E:C9:7B:9B:9B (Primary),0,0,0,0,1,0,5,3,0,4
HH1,HH1,pmc.local,"May 15, 2020 9:06:50 PM","PMC\satkins (Since: May 15, 2020 4:03:56 PM)","May 15, 2020 9:02:58 PM",12.177.172.90/10.10.9.111;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Dell Inc.,Dell Inc. 018D1Y ,Inspiron 560,DB3FKN1,Pentium(R) Dual-Core CPU E5700 @ 3.00GHz ,3.96 GB,Intel(R) G45/G43 Express Chipset,Intel(R) High Definition Audio HDMI,ST3500418AS (465GB),TSSTcorp DVD+-RW TS-H653H,Realtek PCIe GBE Family Controller,C,B8:AC:6F:D7:EF:7A (Primary),0,0,0,0,0,0,1,1,0,0
PMC121,PMC121,pmc.local,"May 18, 2020 12:52:32 AM","PMC\ccarter (Since: May 13, 2020 7:46:52 AM)","May 11, 2020 12:50:37 PM",12.177.172.90/10.10.9.114;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Hewlett-Packard,Hewlett-Packard 3646h ,HP Compaq 8000 Elite SFF PC,MXL1121DXD,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.87 GB,Intel(R) Q45/Q43 Express Chipset (Microsoft Corporation - WDDM 1.1),High Definition Audio Device,Maxtor 6H500F0 ATA Device (465GB),hp DVDROM DH40N ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,00:23:24:29:21:13 (Primary),0,0,0,0,1,0,1,3,0,6
PMCLPT108,PMCLPT108,pmc.local,"May 18, 2020 12:52:33 AM","PMCLPT108\Judy Blazek (Since: May 11, 2020 5:09:48 PM)","May 11, 2020 9:35:42 PM",68.12.212.239/192.168.1.2;,Preferred Management Corporation,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Standard 2010, Build  15.0.4569.1506",Sentinel Agent,LENOVO,LENOVO 20DE001PUS ,20DE001PUS,PF067E1P,"AMD A6-7000 Radeon R4, 5 Compute Cores 2C+3G ",6.83 GB,AMD Radeon(TM) R4 Graphics,AMD High Definition Audio Device,"WDC WD5000LPVX-08V0TT5 (465GB),Seagate Backup+ BK SCSI Disk Device (931GB)",,"Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC,Realtek PCIe GBE Family Controller",C,2C:33:7A:18:AC:B3 (Primary)68:F7:28:49:F5:2F ,0,0,1,0,1,0,4,3,0,0
PMC106,PMC106,pmc.local,"May 15, 2020 8:53:58 PM","PMC\Dkesler (Since: May 8, 2020 8:00:09 AM)","May 15, 2020 1:02:04 PM",12.177.172.90/10.10.9.129;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1,6.1,7601.24544,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Dell Inc.,Dell Inc. 0PU052 ,OptiPlex 755,94J0JH1,Intel(R) Core(TM)2 Duo CPU E8200 @ 2.66GHz ,2.99 GB,Intel(R) Q35 Express Chipset Family,SoundMAX Integrated Digital HD Audio,HDS724040KLSA80 ATA Device (372GB),TSSTcorp DVD-ROM TS-L333A ATA Device,Intel(R) 82566DM-2 Gigabit Network Connection,C,00:21:70:2D:E1:23 (Primary),0,0,0,0,0,0,2,2,0,3
PMC111,PMC111,pmc.local,"March 18, 2020 9:23:55 PM","PMC\kfreeman (Since: Mar 17, 2020 1:39:01 PM)","March 18, 2020 7:42:29 PM",12.177.172.90/10.10.9.139;,Preferred Management Corporation,Work Station,Microsoft Windows 7 Professional SP1,6.1,7601.24544,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0PU052 ,OptiPlex 755,FQRCTH1,Intel(R) Core(TM)2 Duo CPU E6550 @ 2.33GHz ,3.24 GB,Intel(R) Q35 Express Chipset Family,SoundMAX Integrated Digital HD Audio,HDS721010KLA33R RSD HUA (931GB),TEAC DVD-ROM DV28SV,Intel(R) 82566DM-2 Gigabit Network Connection,C,00:21:70:2C:D2:13 (Primary),0,0,0,0,1,0,0,1,0,0
