Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
STOREHOUSE,STOREHOUSE,mahdtx.org,"May 28, 2020 2:55:51 AM","MAHDTX\carson (Since: May 13, 2020 10:02:34 PM)","May 14, 2020 2:02:16 AM",66.252.219.66/10.173.0.24;,Mulshoe Area Medical Center,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1858-8787-2596-3264-2372-7998-47,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,8 GB,Microsoft Hyper-V Video,N/A,"Virtual HD ATA Device (59GB),Msft Virtual Disk SCSI Disk Device (100GB),Msft Virtual Disk SCSI Disk Device (300GB)",Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter,C,00:15:5D:00:95:06 (Primary),1,0,1,0,1,0,0,1,0,0
MAMC-MAINT,MAMC-MAINT,mahdtx.org,"February 13, 2020 8:02:06 PM","MAHDTX\jbruton (Since: Jan 17, 2020 8:25:26 AM)","January 17, 2020 2:19:41 PM",66.252.219.66/10.173.1.111;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,LENOVO,LENOVO   ,10AU002PUS,PB002FWX,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz ,3.82 GB,Intel(R) HD Graphics 4400,Realtek High Definition Audio,ST500DM002-1BD142 ATA Device (465GB),TSSTcorp DVD-RW SH-216DB ATA Device,Realtek PCIe GBE Family Controller,C,44:8A:5B:00:BC:C7 (Primary),0,0,0,0,1,0,0,1,0,0
MAHD-CONTROLLER,MAHD-CONTROLLER,mahdtx.org,"May 28, 2020 2:55:49 AM","MAHDTX\VGroneman (Since: May 26, 2020 8:07:42 AM)","May 26, 2020 1:05:43 PM",66.252.219.66/10.173.0.116;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,LENOVO,LENOVO   ,10AU002PUS,PB0053ZA,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz ,3.95 GB,NVIDIA GeForce 8400GS,NVIDIA High Definition Audio,WDC WD5000AAKX-08U6AA0 ATA Device (465GB),PLDS DVD-RW DH16AESH ATA Device,Realtek PCIe GBE Family Controller,C,44:8A:5B:08:3F:BF (Primary),0,0,0,0,1,0,0,1,0,2
MAHLP107,MAHLP107,mahdtx.org,"May 27, 2020 9:22:51 PM","MAHDTX\ONavejar (Since: May 18, 2020 10:09:31 AM)","May 25, 2020 7:57:10 PM",66.252.219.171/192.168.127.101;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  15.0.4569.1506",Sentinel Agent,Dell Inc.,Dell Inc. 02HVPD ,Inspiron 5758,55S1Z52,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz ,7.91 GB,Intel(R) HD Graphics 5500,Realtek Audio,ST1000LM 024 HN-M101MBB SCSI Disk Device (931GB),PLDS DVD+-RW DU-8A5LH SCSI CdRom Device,"Realtek PCIe FE Family Controller,Intel(R) Dual Band Wireless-AC 3160,Bluetooth Device (Personal Area Network),Microsoft Virtual WiFi Miniport Adapter,Microsoft Virtual WiFi Miniport Adapter #2",C,20:47:47:BB:14:8E (Primary)E4:F8:9C:C4:AE:6E E4:F8:9C:C4:AE:72 E6:F8:9C:C4:AE:6E E6:F8:9C:C4:AE:6F ,0,0,0,0,1,0,0,1,0,0
MAH102,MAH102,mahdtx.org,"May 27, 2020 6:15:30 PM","MAHDTX\mfranco (Since: May 21, 2020 8:51:31 AM)","May 21, 2020 1:47:54 PM",66.252.219.66/10.173.0.117;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Sentinel Agent,LENOVO,LENOVO   ,10AU002PUS,PB005038,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz ,3.82 GB,Intel(R) HD Graphics 4400,Intel(R) Display Audio,ATA WDC WD5000AAKX-0 SCSI Disk Device (465GB),PLDS DVD-RW DH16AESH SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,44:8A:5B:08:58:01 (Primary),0,0,0,0,0,0,0,2,0,2
MAMC-WARD-W7,MAMC-WARD-W7,mahdtx.org,"May 28, 2020 2:55:50 AM","MAHDTX\bgarcia (Since: May 26, 2020 6:45:14 PM),MAHDTX\sgarcia (Since: May 27, 2020 6:52:42 PM)","May 26, 2020 11:58:31 AM",66.252.219.66/10.173.0.123;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,LENOVO,LENOVO MAHOBAY ,3414DJU,MJ73ZZ7,Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz ,3.94 GB,LogMeIn Mirror Driver,High Definition Audio Device,WDC WD5000AAKX-08U6AA0 ATA Device (465GB),PLDS DVD-RW DS8A9SH ATA Device,"Intel(R) 82579LM Gigabit Network Connection,Intel(R) Centrino(R) Wireless-N 2230,Microsoft Virtual WiFi Miniport Adapter,Microsoft Virtual WiFi Miniport Adapter #2,Bluetooth Device (Personal Area Network)",C,00:C2:C6:0E:23:0B 00:C2:C6:0E:23:0C 00:C2:C6:0E:23:0F F8:0F:41:87:C8:77 (Primary),0,0,0,0,0,0,1,2,0,4
MULESHOERADLITE,MULESHOERADLITE,mahdtx.org,"May 28, 2020 2:55:51 AM","MAHDTX\carson (Since: May 6, 2020 12:12:15 PM)","May 13, 2020 10:31:09 PM",66.252.219.66/10.173.0.248;,Mulshoe Area Medical Center,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3686,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1542-9082-0686-1495-2772-5847-32,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,8 GB,Microsoft Hyper-V Video,N/A,Microsoft Virtual Disk (199GB),,Microsoft Hyper-V Network Adapter,C,00:15:5D:00:95:0F (Primary),0,0,0,0,1,0,0,1,0,0
MAHLP108,MAHLP108,mahdtx.org,"May 28, 2020 2:55:49 AM","MAHLP108\TNTadmin (Since: May 2, 2020 4:36:49 PM)","May 14, 2020 9:56:05 PM",66.252.219.171/192.168.127.106;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Sentinel Agent,Dell Inc.,Dell Inc. 02HVPD ,Inspiron 5758,28B2Z52,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz ,7.91 GB,Intel(R) HD Graphics 5500,Intel(R) Display Audio,ST1000LM 024 HN-M101MBB SCSI Disk Device (931GB),HL-DT-ST DVD+-RW GU90N SCSI CdRom Device,"Realtek PCIe FE Family Controller,Intel(R) Dual Band Wireless-AC 3160,Bluetooth Device (Personal Area Network)",C,20:47:47:C6:94:CB (Primary)E4:F8:9C:C6:5E:26 E4:F8:9C:C6:5E:2A ,0,0,0,0,1,0,0,2,0,0
MAH107,MAH107,mahdtx.org,"May 28, 2020 2:55:52 AM","MAHDTX\dshankle (Since: May 26, 2020 11:35:37 AM)","May 26, 2020 4:32:33 PM",66.252.219.66/10.173.0.170;,Mulshoe Area Medical Center,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Sentinel Agent,LENOVO,LENOVO   ,10AU002PUS,PB0053ZK,Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz ,3.82 GB,Intel(R) HD Graphics 4400,High Definition Audio Device,WDC WD5000AAKX-08U6AA0 ATA Device (465GB),PLDS DVD-RW DH16AESH ATA Device,Realtek PCIe GBE Family Controller,C,44:8A:5B:08:4D:E4 (Primary),0,0,0,0,1,0,0,2,0,1
MIDA,MIDA,mahdtx.org,"May 28, 2020 2:55:49 AM","MAHDTX\carson (Since: May 13, 2020 9:48:50 PM)","May 13, 2020 2:08:09 AM",66.252.219.66/10.173.0.8;,Mulshoe Area Medical Center,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,2042-8678-3173-7479-5569-5128-00,Intel(R) Xeon(R) CPU E5-2667 v4 @ 3.20GHz ,16 GB,,N/A,Virtual HD ATA Device (299GB),Msft Virtual CD/ROM ATA Device,Microsoft Hyper-V Network Adapter,C,00:15:5D:00:95:0C (Primary),0,0,1,0,1,0,0,1,0,1
