Endpoint Name,Site,Last Logged In User,Group,Domain,Account,Console Visible IP,Agent Version,Last Active,Subscribed On,Health Status,Device Type,OS,OS Version,Architecture,Memory,CPU Count,Core Count,MAC Address,Management Connectivity,Network Status,Update Status,Scan Status,IP Addresses,Pending Uninstall,Disk Encryption,Vulnerability Status,Agent UUID,Agent ID,Customer Identifier,Console Migration Status,Locations,Agent Operational State
BRR127,Default site,Receptionist,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:06.674177Z,2020-12-16T21:17:43.059683Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,6,6,"['f4:39:09:17:8c:38', 'f4:39:09:17:8c:38']",Online,Connected,Up to date,Completed (2020-12-16T22:31:01.477296Z),"['192.168.0.188', 'fe80::9d57:efa4:fca8:59b7']",No,Off,Up to date,be332859e8294c8ebbbacfa817ed4beb,1047944027982784682,N/A,N/A,['Fallback'],Not disabled by the user
BRR103,Default site,kim,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:15.733805Z,2020-12-16T21:17:49.764613Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,8,8,"['f4:8e:38:9c:80:a7', 'f4:8e:38:9c:80:a7']",Online,Connected,Up to date,Completed (2020-12-16T22:56:12.491537Z),"['192.168.0.133', 'fe80::5d15:d01d:9f2e:fd2b']",No,Off,Requires patching,f46949d435c14e748e21d35cadf99ea4,1047944084203240237,N/A,N/A,['Fallback'],Not disabled by the user
brr120,Default site,sammie,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:16.183745Z,2020-12-16T21:17:56.086559Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:f8:1f:67', '18:60:24:f8:1f:67']",Online,Connected,Up to date,Completed (2020-12-16T22:44:19.627469Z),"['192.168.0.177', 'fe80::d50a:b580:3e40:4d4a']",No,Off,Requires patching,6683e4c11a9e489c9c18904d66699f7b,1047944137261187470,N/A,N/A,['Fallback'],Not disabled by the user
BRR107,Default site,monica,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:20.441078Z,2020-12-16T21:18:56.009190Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,8 GB,4,4,"['18:66:da:42:b1:f8', '18:66:da:42:b1:f8']",Online,Connected,Up to date,Completed (2020-12-17T02:03:48.480304Z),"['192.168.0.140', 'fe80::49ad:8fa:c462:a1c0']",No,Off,Requires patching,dfa3909240964a1e8124ea01cf7fde5a,1047944639906616296,N/A,N/A,['Fallback'],Not disabled by the user
BRR128,Default site,maryelizabeth,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:21.280402Z,2020-12-16T21:17:48.832278Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,6,6,"['f4:39:09:17:8b:66', 'f4:39:09:17:8b:66']",Online,Connected,Up to date,Completed (2020-12-16T22:45:09.673426Z),"['192.168.0.178', 'fe80::fd60:226b:c9b2:69e6']",No,Off,Up to date,93c696071d7f46ec8cd07b589e7b718b,1047944076401834722,N/A,N/A,['Fallback'],Not disabled by the user
BRR125,Default site,Paul,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:26.571750Z,2020-12-16T21:17:42.734970Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,16 GB,6,6,"['f4:39:09:17:8d:5f', 'f4:39:09:17:8d:5f']",Online,Connected,Up to date,Completed (2020-12-16T22:48:48.880501Z),"['192.168.0.186', 'fe80::35aa:75ba:d11a:f77c']",No,Off,Up to date,7f520c6bfae94864bc9ef61694897087,1047944025264875462,N/A,N/A,['Fallback'],Not disabled by the user
brr119,Default site,will,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:26.820808Z,2020-12-16T21:18:02.403676Z,Healthy,desktop,Windows,"Windows 10 Pro,18363",64 bit,8 GB,4,4,"['18:60:24:f8:25:25', '18:60:24:f8:25:25']",Online,Connected,Up to date,Completed (2020-12-16T22:49:23.750927Z),"['192.168.0.174', 'fe80::15ef:f9e0:cb:e48c']",No,Off,Requires patching,cf1cecb4b80c45afb6aaa2efa603d3b2,1047944190252026017,N/A,N/A,['Fallback'],Not disabled by the user
BRR135,Default site,amber,Default Group,A,Bemis Roach & Reed,24.55.20.64,4.2.7.192,2021-01-19T18:20:27.823541Z,2020-11-09T18:36:11.283282Z,Healthy,desktop,Windows,"Windows 10 Pro,19042",64 bit,8 GB,8,8,"['f8:b1:56:da:18:0c', 'f8:b1:56:da:18:0c', 'f8:b1:56:da:18:0c', 'f8:b1:56:da:18:0c', 'f8:b1:56:da:18:0c']",Online,Connected,Up to date,Completed (2020-11-09T22:59:33.321244Z),"['192.168.1.70', '2603:8080:1e40:238:308c:1f30:4e47:fc11', '2603:8080:1e40:238:3c8a:4d23:3888:af08', '2603:8080:1e40:238::1c40', 'fe80::3c8a:4d23:3888:af08']",No,Off,Requires patching,c4da94b1f6c242ef8c6f513bd8ade73b,1021046025385105996,N/A,N/A,['Fallback'],Not disabled by the user
BRR105,Default site,Melissa,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:28.883917Z,2020-12-16T21:19:16.034464Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,8 GB,4,4,"['18:66:da:38:4a:7a', '18:66:da:38:4a:7a']",Online,Connected,Up to date,Completed (2020-12-17T02:52:46.344025Z),"['192.168.0.157', 'fe80::eda4:e04:eeb0:284b']",No,Off,Requires patching,693d0f8be527440b896180a4278b2101,1047944807913668687,N/A,N/A,['Fallback'],Not disabled by the user
BRR124,Default site,Lloyd,Default Group,BRR,Bemis Roach & Reed,12.229.222.18,4.2.7.192,2021-01-19T18:20:29.733950Z,2020-12-16T21:17:46.999418Z,Healthy,desktop,Windows,"Windows 10 Pro,19041",64 bit,16 GB,6,6,"['f4:39:09:17:90:46', 'f4:39:09:17:90:46']",Online,Connected,Up to date,Completed (2020-12-17T08:40:22.410380Z),"['192.168.0.116', 'fe80::6cc4:165f:f519:fe8c']",No,Off,Requires patching,81421478b54349978610d6ec0a188bf2,1047944061008736915,N/A,N/A,['Fallback'],Not disabled by the user
