Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
THPTAB120,THPTAB120,Treehouse.local,"April 23, 2020 1:18:09 PM","TREEHOUSE\nlewis (Since: Apr 9, 2020 8:14:56 AM)","March 27, 2020 1:13:32 PM",97.77.159.210/192.168.16.96;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.720,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Surface Go ,Surface Go,033989383151,Intel(R) Pentium(R) CPU 4415Y @ 1.60GHz ,7.91 GB,Intel(R) HD Graphics 615,Realtek High Definition Audio(SST),KBG30ZPZ128G TOSHIBA (119GB),,"Qualcomm Atheros QCA61x4A Wireless Network Adapter,Bluetooth Device (Personal Area Network)",C,D8:C4:97:96:E7:83 (Primary)D8:C4:97:96:E7:84 ,0,0,0,0,0,0,1,3,0,0
THTRIAGEAP,THTRIAGEAP,Treehouse.local,"May 14, 2020 2:52:09 AM",,"May 1, 2020 1:19:05 AM",97.77.159.210/192.168.16.22;169.254.67.66;,Treehouse Pediatrics,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,1853-2768-2711-6128-5086-4083-43,Intel(R) Xeon(R) CPU E5645 @ 2.40GHz ,4 GB,Microsoft Virtual Machine Bus Video Device,N/A,Virtual HD ATA Device (126GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:10:51:08 (Primary)02:00:4C:4F:4F:50 ,0,0,0,1,0,0,0,0,0,0
PC30,PC30,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\jamiee (Since: May 11, 2020 7:52:16 AM)","May 11, 2020 12:50:15 PM",97.77.159.210/192.168.16.91;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Hewlett-Packard,Hewlett-Packard 3031h ,HP Compaq dc7900 Small Form Factor,MXL9321XXW,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.87 GB,Radeon X1300/X1550 Series  ,SoundMAX Integrated Digital HD Audio,"WDC WD5002ABYS-02B1B0 ATA Device (465GB),Seagate Backup+  Desk USB Device (2794GB)","TSSTcorp DVD-ROM TS-H353B ATA Device,MATSHITA DVD-RAM UJ-841S USB Device",Intel(R) 82567LM-3 Gigabit Network Connection,C,00:25:B3:0E:02:44 (Primary),0,0,0,0,1,0,0,1,0,1
DTS_EPRESCRIBE,DTS_EPRESCRIBE,Treehouse.local,"May 14, 2020 2:52:06 AM","TREEHOUSE\administrator (Since: Mar 4, 2020 3:10:37 PM)","May 13, 2020 10:02:16 AM",97.77.159.210/192.168.16.17;169.254.29.40;,Treehouse Pediatrics,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,N/A,Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Virtual Machine ,Virtual Machine,8887-8005-2281-6555-6010-0711-91,Intel(R) Xeon(R) CPU E5645 @ 2.40GHz ,18 GB,LogMeIn Mirror Driver,N/A,Virtual HD ATA Device (109GB),Msft Virtual CD/ROM ATA Device,Microsoft Virtual Machine Bus Network Adapter,C,00:15:5D:10:51:02 (Primary)02:00:4C:4F:4F:50 ,0,0,1,0,1,0,0,7,0,1
PC32,PC32,Treehouse.local,"February 11, 2020 3:56:07 PM","TREEHOUSE\selu (Since: Dec 11, 2019 7:43:30 AM)","February 11, 2020 3:10:25 PM",97.77.159.210/192.168.16.138;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0F428D ,OptiPlex 960,DKW7RL1,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.87 GB,Radeon X1300/X1550 Series (Microsoft Corporation - WDDM) ,High Definition Audio Device,Hitachi HDS721010CLA632 ATA Device (931GB),PLDS DVD+-RW DH-16AAS ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,00:26:B9:84:5E:BB (Primary),0,0,0,0,1,0,2,3,0,0
PC36,PC36,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\ahorihan (Since: May 12, 2020 7:33:14 AM)","May 13, 2020 9:30:11 PM",97.77.159.210/192.168.16.71;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2010 SP2, Build  15.0.4569.1506",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0KWVT8 ,XPS 8700,9P1PY12,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz ,15.95 GB,NVIDIA GeForce GTX 745,Realtek High Definition Audio,ATA TOSHIBA DT01ACA1 SCSI Disk Device (931GB),PLDS DVD+-RW DH-16AES SCSI CdRom Device,"Realtek PCIe GBE Family Controller,Dell Wireless 1703 802.11b/g/n (2.4GHz),Bluetooth Device (Personal Area Network)",C,00:FF:1C:AC:E9:DD 34:17:EB:BB:FD:12 (Primary)B0:10:41:77:D2:65 B0:10:41:77:D2:66 ,0,0,0,0,1,0,1,2,0,7
PC33,PC33,Treehouse.local,"April 30, 2020 2:51:21 PM","TREEHOUSE\tgarrett (Since: Apr 23, 2020 7:43:35 AM)","April 23, 2020 9:05:01 PM",97.77.159.210/192.168.16.89;,Treehouse Pediatrics,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 0J468K ,OptiPlex 960,9CD8LK1,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz ,7.87 GB,ATI Radeon HD 3400 Series ,High Definition Audio Device,WDC WD1000FYPS-01ZKB0 ATA Device (931GB),Optiarc DVD+-RW AD-5170S ATA Device,Intel(R) 82567LM-3 Gigabit Network Connection,C,00:24:E8:FD:1E:18 (Primary),0,0,0,0,1,0,0,2,0,3
TREEHOUSE-TS2,TREEHOUSE-TS2,Treehouse.local,"May 14, 2020 2:52:07 AM","TREEHOUSE\robinh (Since: Apr 29, 2020 7:30:19 AM)","May 13, 2020 10:03:09 AM",97.77.159.210/192.168.16.16;169.254.153.100;192.168.16.140;,Treehouse Pediatrics,Server,Microsoft Windows Server 2008 R2 Enterprise SP1 x64,6.1,7601,"Microsoft Office Professional 2007, Build  12.0.4518.1014",Symantec Endpoint Protection,Dell Inc.,Dell Inc. 00NH4P ,PowerEdge R710,13B3TR1,2x Intel(R) Xeon(R) CPU E5645 @ 2.40GHz ,95.99 GB,LogMeIn Mirror Driver,N/A,DELL PERC H700 SCSI Disk Device (278GB),TEAC DVD-ROM DV-28SW ATA Device,"Broadcom BCM5709C NetXtreme II GigE (NDIS VBD Client) #35,Broadcom BCM5709C NetXtreme II GigE (NDIS VBD Client),Broadcom BCM5709C NetXtreme II GigE (NDIS VBD Client) #42",C,02:00:4C:4F:4F:50 78:2B:CB:37:90:42 (Primary)78:2B:CB:37:90:48 ,0,0,1,0,1,0,5,2,0,1
THPTAB123,THPTAB123,Treehouse.local,"May 14, 2020 2:52:07 AM","TREEHOUSE\slewis (Since: May 13, 2020 7:48:35 AM)","May 13, 2020 10:15:59 PM",97.77.159.210/192.168.16.105;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Windows Defender,Microsoft Corporation,Microsoft Corporation Surface Go ,Surface Go,026901383351,Intel(R) Pentium(R) CPU 4415Y @ 1.60GHz ,7.91 GB,Intel(R) HD Graphics 615,Realtek High Definition Audio(SST),KBG30ZPZ128G TOSHIBA (119GB),,"Qualcomm Atheros QCA61x4A Wireless Network Adapter,Bluetooth Device (Personal Area Network)",C,D8:C4:97:9F:95:90 (Primary)D8:C4:97:9F:95:91 ,0,0,0,0,1,0,0,0,0,0
THPTAB126,THPTAB126,Treehouse.local,"May 14, 2020 2:52:09 AM","TREEHOUSE\mscaff (Since: May 12, 2020 7:48:09 AM)","April 15, 2020 10:52:28 PM",97.77.159.210/192.168.16.83;,Treehouse Pediatrics,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.778,"Microsoft Office Professional 2010 SP2, Build  14.0.7015.1000",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Surface Go ,Surface Go,002845283551,Intel(R) Pentium(R) CPU 4415Y @ 1.60GHz ,7.91 GB,Intel(R) HD Graphics 615,Realtek High Definition Audio(SST),KBG30ZPZ128G TOSHIBA (119GB),,"Qualcomm Atheros QCA61x4A Wireless Network Adapter,Bluetooth Device (Personal Area Network)",C,D8:C4:97:96:F9:CD (Primary)D8:C4:97:96:F9:CE ,0,0,0,0,1,0,4,3,0,0
