Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
SCH266,SCH266,sabine.local,"August 3, 2020 5:20:03 PM","SABINE\clee (Since: Jul 28, 2020 10:38:50 AM)","July 29, 2020 9:12:25 AM",71.29.88.122/192.168.60.154;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,N/A,Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU N4200 @ 1.10GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),SanDisk DA4064 (58GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,40:74:E0:1F:2D:E0 (Primary)40:74:E0:1F:2D:E4 A0:1E:0B:0E:FF:F6 ,0,0,0,0,1,0,0,0,0,0
SCHDATACENTERDC,SCHDATACENTERDC,sabine.local,"August 3, 2020 5:20:07 PM","SABINE\administrator (Since: Apr 2, 2020 8:42:27 AM)","March 31, 2020 2:35:26 PM",64.20.236.4/10.21.31.205;,Sabine County Hospital,Domain Controller,Microsoft Windows Server 2016 Standard  x64,1607,14393.3564,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 32 d4 a9 99 6f e4 72-93 3c 5b 84 69 57 5d 6e,4x Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz ,12 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (39GB),NECVMWar VMware SATA CD00,Intel(R) 82574L Gigabit Network Connection,C,00:50:56:B2:E1:4C (Primary),0,0,0,0,1,0,1,0,0,0
SCH212,SCH212,sabine.local,"August 3, 2020 5:20:04 PM","SABINE\clinicrm (Since: Jul 24, 2020 8:12:10 AM)","July 23, 2020 3:36:09 PM",71.29.88.122/192.168.60.139;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,N/A,Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU N4200 @ 1.10GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"NEO-N4-SSD-240GB (223GB),SanDisk DA4064 (58GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,5C:87:9C:34:35:69 (Primary)5C:87:9C:34:35:6D A0:1E:0B:0E:FE:75 ,0,0,0,0,1,0,0,2,0,0
SCHLP122,SCHLP122,Workgroup,"July 27, 2020 2:13:18 PM","SABINE\nhalpain (Since: Jul 27, 2020 12:30:51 PM)","July 27, 2020 12:30:15 PM",173.185.151.194/192.168.56.137;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,HP,HP 8532 ,HP 250 G7 Notebook PC,CND0151GH7,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz ,7.89 GB,Intel(R) UHD Graphics 620,Intel(R) Display Audio,KBG30ZMV256G KIOXIA (238GB),,"Realtek PCIe GbE Family Controller,Realtek RTL8821CE 802.11ac PCIe Adapter,Bluetooth Device (Personal Area Network)",C,B0:5C:DA:01:12:28 (Primary)D8:12:65:89:4E:41 D8:12:65:89:4E:42 ,0,0,0,0,1,0,0,2,0,4
SCHLP124,SCHLP124,WORKGROUP,"April 29, 2020 2:40:30 PM","SCHLP124\tntadmin (Since: Apr 29, 2020 2:38:26 PM)","April 29, 2020 2:38:17 PM",108.226.169.157/10.1.2.133;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.815,N/A,Symantec Endpoint Protection,HP,HP 8532 ,HP 250 G7 Notebook PC,CND0151GKP,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz ,7.89 GB,Intel(R) UHD Graphics 620,Intel(R) Display Audio,KBG30ZMV256G KIOXIA (238GB),,"Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network),Realtek RTL8821CE 802.11ac PCIe Adapter",C,B0:5C:DA:01:11:85 (Primary)D8:12:65:8A:4E:D7 D8:12:65:8A:4E:D8 ,0,0,0,0,1,0,0,3,0,0
SCHLP123,SCHLP123,WORKGROUP,"July 19, 2020 8:05:18 PM","SCHLP123\Margaret Moore (Since: Jun 13, 2020 7:08:53 PM)","May 15, 2020 12:59:47 PM",67.143.192.86/192.168.42.7;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,N/A,Symantec Endpoint Protection,HP,HP 8532 ,HP 250 G7 Notebook PC,CND0151GHJ,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz ,7.89 GB,Intel(R) UHD Graphics 620,Intel(R) Display Audio,KBG30ZMV256G KIOXIA (238GB),,"Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network),Realtek RTL8821CE 802.11ac PCIe Adapter",C,B0:5C:DA:01:14:35 (Primary)D8:12:65:88:6B:55 D8:12:65:88:6B:56 ,0,0,0,0,1,0,3,3,0,6
SCHLP125,SCHLP125,sabine.local,"August 1, 2020 1:18:41 PM","SABINE\jhowell (Since: Jul 8, 2020 8:54:57 AM)","July 23, 2020 8:57:19 AM",73.5.61.170/192.168.56.147;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.959,N/A,Symantec Endpoint Protection,HP,HP 8532 ,HP 250 G7 Notebook PC,CND0151GH6,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz ,7.89 GB,Intel(R) UHD Graphics 620,Intel(R) Display Audio,KBG30ZMV256G KIOXIA (238GB),,"Realtek PCIe GbE Family Controller,Bluetooth Device (Personal Area Network),Realtek RTL8821CE 802.11ac PCIe Adapter",C,53:4E:57:00:00:00 B0:5C:DA:01:14:21 (Primary)D8:12:65:88:B2:EB D8:12:65:88:B2:EC ,0,0,0,0,1,0,0,3,0,4
PMWAPP1,PMWAPP1,pm.local,"August 3, 2020 5:20:06 PM","PM\cdunn (Since: Mar 9, 2020 1:16:22 PM)","June 20, 2019 3:20:08 AM",64.20.236.4/10.21.31.45;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Standard  x64,6.1,7600,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 0f 72 84 e0 3a 26 7c-09 cf 7d 92 30 4b a5 d3,Intel(R) Xeon(R) CPU X5660 @ 2.80GHz ,4 GB,Standard VGA Graphics Adapter,N/A,VMware Virtual disk SCSI Disk Device (49GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) PRO/1000 MT Network Connection,C,00:50:56:8F:00:0D (Primary),0,0,0,0,1,0,1,2,0,0
PMWDB2,PMWDB2,pm.local,"August 3, 2020 5:20:04 PM","PM\srwooster (Since: Jul 26, 2020 3:51:32 AM)","October 14, 2019 2:51:06 PM",64.20.236.4/10.21.31.52;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 0f 21 54 18 8f 3d 27-24 13 e7 f7 79 ac 69 13,Intel(R) Xeon(R) CPU X5660 @ 2.80GHz ,16 GB,Standard VGA Graphics Adapter,N/A,VMware Virtual disk SCSI Disk Device (99GB),"MagicISO Virtual DVD-ROM0000,NECVMWar VMware IDE CDR10 ATA Device",Intel(R) PRO/1000 MT Network Connection,C,00:50:56:8F:00:1A (Primary),0,0,0,0,1,0,0,0,0,0
SABRDS2,SABRDS2,pm.local,"August 3, 2020 5:20:07 PM","PM\odi (Since: Aug 3, 2020 7:10:59 AM),PM\spiritsupport (Since: Apr 12, 2017 3:28:44 PM),SABRDS2\Administrator (Since: May 26, 2017 8:18:47 AM),PM\tng (Since: Sep 10, 2019 3:36:56 PM),SABRDS2\support (Since: Aug 23, 2017 9:53:47 AM),PM\cdunn (Since: Mar 19, 2019 2:57:45 PM),SABRDS2\tntadmin (Since: May 7, 2020 7:37:05 PM)","February 9, 2017 2:58:35 PM",64.20.236.4/10.21.31.55;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 0f 53 89 ff 41 c6 30-81 6b 7c 97 f5 83 b7 c8,4x Intel(R) Xeon(R) CPU X5660 @ 2.80GHz ,8 GB,Standard VGA Graphics Adapter,N/A,VMware Virtual disk SCSI Disk Device (59GB),NECVMWar VMware IDE CDR10 ATA Device,Intel(R) PRO/1000 MT Network Connection,C,00:50:56:8F:00:00 (Primary),0,0,0,0,1,0,10,3,0,2
SCH211,SCH211,sabine.local,"August 3, 2020 5:20:04 PM","SABINE\pfairley (Since: Jul 30, 2020 10:39:37 AM)","July 27, 2020 2:57:43 PM",173.185.151.194/192.168.56.129;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1903,18362.959,"Microsoft Office Professional 2007 SP3, Build  12.0.6612.1000",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"Samsung BJTD4R (29GB),KINGSTON SA400M8240G (223GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller #3,Bluetooth Device (Personal Area Network)",C,A0:1E:0B:0D:66:4A F4:D1:08:D7:49:34 (Primary)F4:D1:08:D7:49:38 ,0,0,0,0,1,1,0,3,0,0
SABRDSTEST1,SABRDSTEST1,pm.local,"August 3, 2020 5:20:04 PM","PM\cdunn (Since: Jan 28, 2020 8:21:28 AM),SABRDSTEST1\support (Since: Mar 9, 2020 1:20:48 PM)","September 27, 2019 8:31:27 PM",64.20.236.4/10.21.31.49;,Sabine County Hospital,Server,Microsoft Windows Server 2008 R2 Standard SP1 x64,6.1,7601,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 0f fb 4b c0 b2 fe cc-2f 1a 28 1a dc 29 02 ef,Intel(R) Xeon(R) CPU X5660 @ 2.80GHz ,4 GB,Standard VGA Graphics Adapter,N/A,VMware Virtual disk SCSI Disk Device (79GB),,Intel(R) PRO/1000 MT Network Connection,C,00:50:56:8F:00:15 (Primary),0,0,1,0,1,0,0,0,0,0
SCH209,SCH209,sabine.local,"August 3, 2020 5:20:06 PM","SABINE\caseyclark (Since: Jul 7, 2020 7:21:02 AM),SABINE\pbice (Since: Jul 7, 2020 8:09:46 AM)","July 7, 2020 12:16:30 AM",173.185.151.194/192.168.56.167;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,2004,19041.329,"Microsoft Office Professional 2007 SP3, Build  14.0.5130.5003",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Realtek High Definition Audio,"KINGSTON SA400M8120G (111GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller #3,Bluetooth Device (Personal Area Network)",C,20:79:18:B7:14:A7 (Primary)20:79:18:B7:14:AB A0:1E:0B:0D:66:8D ,0,0,0,0,1,0,1,2,0,0
SCHRDS02,SCHRDS02,sabine.local,"August 3, 2020 5:20:07 PM","SCHRDS02\tntadmin (Since: May 7, 2020 7:58:59 PM)","July 16, 2020 1:56:25 AM",64.20.236.4/10.21.31.235;,Sabine County Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 32 b4 17 90 e1 9a 32-15 9e 50 fa 8e c6 1a af,4x Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz ,12 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (149GB),,vmxnet3 Ethernet Adapter,C,00:50:56:B2:1E:68 (Primary),0,0,0,0,1,0,1,1,0,0
SCHRDS01,SCHRDS01,sabine.local,"August 3, 2020 5:20:05 PM","SCHRDS01\tntadmin (Since: May 7, 2020 7:59:09 PM)","July 15, 2020 1:58:53 AM",64.20.236.4/10.21.31.234;,Sabine County Hospital,Server,Microsoft Windows Server 2016 Standard  x64,1607,14393.3808,N/A,,"VMware, Inc.",Intel Corporation 440BX Desktop Reference Platform ,VMware Virtual Platform,VMware-42 32 cc 5a 35 14 3f a3-c8 7a 69 06 ee 37 2c a4,4x Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz ,12 GB,VMware SVGA 3D,N/A,VMware Virtual disk SCSI Disk Device (149GB),,vmxnet3 Ethernet Adapter,C,00:50:56:B2:B5:83 (Primary),0,0,0,0,1,0,1,0,0,0
SCH210,SCH210,sabine.local,"August 3, 2020 5:20:04 PM","SABINE\clee (Since: Aug 3, 2020 4:04:46 PM)","August 3, 2020 5:11:16 PM",173.185.151.194/192.168.56.118;,Sabine County Hospital,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.997,"Microsoft Office Professional 2007, Build  16.0.13001.20384",Symantec Endpoint Protection,MINIX,MINIX N42C-4 ,N42C-4,Default string,Intel(R) Pentium(R) CPU J4205 @ 1.50GHz ,7.85 GB,Intel(R) HD Graphics 505,Intel(R) Display Audio,"KINGSTON SA400M8240G (223GB),Samsung BJTD4R (29GB)",,"Intel(R) Dual Band Wireless-AC 3168,Realtek PCIe GBE Family Controller #3,Bluetooth Device (Personal Area Network)",C,20:79:18:B6:0F:B7 (Primary)20:79:18:B6:0F:BB A0:1E:0B:0D:68:74 ,0,0,0,0,1,0,0,1,0,0
