Health Status,Computer Name,Operating System,IPv4 Addresses,IPv6 Addresses,Last User,Groups,Last Active,InterceptX,Endpoint
Healthy,MSCCMP04,WIN10,10.150.73.59,fe80::e169:8709:b535:8f36,sclinic,,"Jan 19, 2021 1:58 PM",assigned,assigned
Healthy,edmthin01,WIN7,10.150.20.2,,ER,,"Jan 19, 2021 1:58 PM",assigned,assigned
Healthy,RADMRI2434,WIN10,10.150.20.30,,cgaray,,"Jan 19, 2021 1:58 PM",assigned,assigned
Healthy,CFELPT02,WIN10,10.150.41.45,fe80::b980:8297:5243:e492,jhagen,,"Jan 19, 2021 1:58 PM",assigned,assigned
Healthy,radmam1103,WIN10,10.150.71.111,fe80::5c95:4bf2:9817:4a78,ecortez,,"Jan 19, 2021 1:58 PM",assigned,assigned
Healthy,CFHCMP02,WIN10,10.150.41.51,fe80::b873:8eb2:92f8:2902,asanchez,,"Jan 19, 2021 1:58 PM",assigned,assigned
Healthy,EDMCMPDR,WIN10,10.150.71.9,fe80::5802:a58f:3812:d43a,ER,,"Jan 19, 2021 1:57 PM",assigned,assigned
Healthy,EDMCMP03,WIN10,10.150.71.177,fe80::551c:7783:a11e:4080,ER,,"Jan 19, 2021 1:57 PM",assigned,assigned
Healthy,NCCCMP02,WIN10,10.150.79.28,,msutti,,"Jan 19, 2021 1:56 PM",assigned,assigned
Healthy,HBOCMP01A,WIN10,10.150.71.14,,mdeleon,,"Jan 19, 2021 1:56 PM",assigned,assigned
Healthy,HHCMP04,WIN10,10.150.77.43,fe80::74e3:781a:af85:402,mrush,,"Jan 19, 2021 1:56 PM",assigned,assigned
Healthy,PSCCMP07,WIN10,10.150.77.38,fe80::c916:84da:1eef:71,msutti,,"Jan 19, 2021 1:55 PM",assigned,assigned
Healthy,ESSCMP02,WIN10,10.150.71.20,fe80::b529:32f8:812a:dadd,bgrubbs,,"Jan 19, 2021 1:55 PM",assigned,assigned
Healthy,ORMCMP05,WIN10,10.150.20.42,fe80::f47b:92f9:a980:6824,msutti,,"Jan 19, 2021 1:55 PM",assigned,assigned
Healthy,HIMCMP03,WIN10,10.150.20.37,fe80::84b4:f1e2:dc1f:6cb0,sagonzales,,"Jan 19, 2021 1:54 PM",assigned,assigned
Healthy,EDMCOW01,WIN10,10.150.41.108,fe80::f0f3:9c05:20f3:47d9,vvick,,"Jan 19, 2021 1:54 PM",assigned,assigned
Healthy,REFCMP02,WIN10,10.150.77.31,fe80::6daa:eac8:9874:38c4,nrodriguez,,"Jan 19, 2021 1:54 PM",assigned,assigned
Healthy,LABCHM2435,WIN7,10.150.20.76,,tcranston,,"Jan 19, 2021 1:54 PM",assigned,assigned
Healthy,MDSCMP02,WIN10,10.150.20.74,fe80::b1e2:ba07:14af:cb79,wardclerk,,"Jan 19, 2021 1:54 PM",assigned,assigned
Healthy,SCCCMP03,WIN10,10.150.77.29,,dflores,,"Jan 19, 2021 1:54 PM",assigned,assigned
Healthy,ORTLPT07,WIN10,10.150.74.161,fe80::139:6187:fded:b471,ahunter,,"Jan 19, 2021 1:53 PM",assigned,assigned
Healthy,FACCLNT005,WIN10,10.150.71.125,fe80::d9c0:d4b6:bad8:ab53,jmarin,,"Jan 19, 2021 1:53 PM",assigned,assigned
Healthy,BARCMP02,WIN10,10.150.71.8,fe80::495f:9bed:4385:6eb9,jtrevino,,"Jan 19, 2021 1:52 PM",assigned,assigned
Healthy,HBOCLNT003,WIN10,10.150.73.48,,angarza,,"Jan 19, 2021 1:52 PM",assigned,assigned
Healthy,HITLPTSPARE,WIN10,10.150.41.23,fe80::2143:7998:42c6:bd58,lvilla,,"Jan 19, 2021 1:52 PM",assigned,assigned
Healthy,CSFCLNT002,WIN7,10.150.41.35,,bguerra,,"Jan 19, 2021 1:51 PM",assigned,assigned
Healthy,EXELPTCOO,WIN10,10.150.71.3,fe80::6464:3f72:f5:dd47,bmcdowell,,"Jan 19, 2021 1:51 PM",assigned,assigned
Healthy,ICUCMP01,WIN10,10.150.71.10,fe80::5084:f35b:12e6:32d0,ajatskiv,,"Jan 19, 2021 1:50 PM",assigned,assigned
