Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
PARMERLP109,-,Win10,Online,Default Group,N/A
PARMERLP110.pmc.local,-,Win10,Online,Default Group,N/A
PARMERLP111.pmc.local,-,Win10,Online,Default Group,N/A
PARMERLP112,-,Win10,Online,Default Group,N/A
PARMERLP113.pmc.local,-,Win10,Online,Default Group,N/A
PARMERLP114.pmc.local,-,Win10,7/28/2020,Default Group,N/A
PARMERLP115.pmc.local,-,Win10,Online,Default Group,N/A
PARMERSURFACE1.pmc.local,-,Win10,Online,Default Group,N/A
ParmerTimeTrak.pmc.local,-,Win2016,Online,Default Group,N/A
PARMERTRUCODE.pmc.local,-,Win2012,Online,Default Group,N/A
PARMERTS2.pmc.local,-,Win2012,Online,Default Group,N/A
PCBackup.pmc.local,-,Win10,7/6/2019,Default Group,N/A
PT_Laptop4.pmc.local,-,Win7,Online,Default Group,N/A
PTLaptop6.pmc.local,-,Win7,Online,Default Group,N/A
PTUltrabook1.pmc.local,-,Win7,Online,Default Group,N/A
rhondas-PC,-,Win7,Online,Default Group,N/A
susiesurface.pmc.local,-,Win8.1,Online,Default Group,N/A
TammyLaptop.pmc.local,-,Win10,Online,Default Group,N/A
temp-PC,-,Win7,Online,Default Group,N/A
WIN-90710M5LQP2,-,Win10,8/1/2020,Default Group,N/A
WIN-9G9OI6PSRGP,-,Win10,Online,Default Group,N/A
WIN-P08AGGB21OR,-,Win10,Online,Default Group,N/A
WOW1.pmc.local,-,Win7,Online,Default Group,N/A
