Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
ECMH-EvidentTS1.local.ecmh.org,-,Win2008,5/18/2020,Default Group,N/A
ECMH-EVIDENTTS2.local.ecmh.org,-,Win2016,Online,Default Group,N/A
ecmh-IT-PC,-,Win10,5/6/2020,Default Group,N/A
ECMH3M,-,Win2016,Online,Default Group,N/A
ECMHAVAYA.local.ecmh.org,-,Win2012,Online,Default Group,N/A
ECMHdata.local.ecmh.org,-,Win2012,Online,Default Group,N/A
ECMHDC1.local.ecmh.org,-,Win2016,Online,Default Group,N/A
ECMHDC2.local.ecmh.org,-,Win2016,Online,Default Group,N/A
ECMHDC3.local.ecmh.org,-,Win2016,Online,Default Group,N/A
ECMHDHCP.local.ecmh.org,-,Win2016,Online,Default Group,N/A
ECMHDNS4ECISD.local.ecmh.org,Needs Restart,Win2016,Online,Default Group,N/A
ECMHTS1.local.ecmh.org,-,Win2008,5/20/2020,Default Group,N/A
ECMHVEEAM1.local.ecmh.org,-,Win2008,Online,Default Group,N/A
ECMHVH1,-,Win2012,Online,Default Group,N/A
ECMHVH2,Needs Restart,Win2012,Online,Default Group,N/A
ECMHVM01,-,Win2012,Online,Default Group,N/A
ecmhweb.local.ecmh.org,Needs Restart,Win2008,Online,Default Group,N/A
ecmhwts1.local.ecmh.org,-,Win2003,Online,Default Group,N/A
ecmhwts2.local.ecmh.org,-,Win2003,Online,Default Group,N/A
ECMHWTS3.local.ecmh.org,Needs Restart,Win2003,Online,Default Group,N/A
ElCampo-IL,-,Win2012,Online,Default Group,N/A
ELCAMPOCLINIC1.local.ecmh.org,-,Win10,Online,Default Group,N/A
ER-computer-001.local.ecmh.org,-,Win7,Online,Default Group,N/A
ER-PHY-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
FNP-TYOUNG-L.local.ecmh.org,-,Win10,5/21/2020,Default Group,N/A
GTMON2.local.ecmh.org,Needs Restart,Win2008,4/21/2020,Default Group,N/A
H-admin-CEO.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-AP-C2.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-AP-C4.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-ASCHOPPE-D.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
H-BO-C1.local.ecmh.org,-,Win7,5/21/2020,Default Group,N/A
H-BO-C2.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-BO-C3.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-BO-C4.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-BO-C7.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-BO-C8.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-BO-Heidi.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-BO-Laura.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-BO-LISA.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-car-003.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-CAR-C4.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-Cardio.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-CEO-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-DON-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-DRROOM-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-ER-C1.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-ER-c2.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
H-ER-C4.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-FANS-C3.local.ecmh.org,-,Win7,5/26/2020,Default Group,N/A
H-FCI-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-HIM-C1.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-HIM-C4.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-HR-GINGER.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-IC-C4.local.ecmh.org,-,Win7,5/26/2020,Default Group,N/A
H-ICU-C3.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-ICU-C6.local.ecmh.org,-,Win7,5/13/2020,Default Group,N/A
H-ICU-C7.local.ecmh.org,-,Win7,5/25/2020,Default Group,N/A
H-Insrv-1.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-INV4-L.local.ecmh.org,-,Win10,5/25/2020,Default Group,N/A
H-INV5-L.local.ecmh.org,-,Win10,4/29/2020,Default Group,N/A
H-INV6-L.local.ecmh.org,-,Win10,4/13/2020,Default Group,N/A
H-IT-C1.local.ecmh.org,-,Win10,Online,No Firewall,N/A
H-IT-C2.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-IT-C3.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-IT-SPARE.local.ecmh.org,-,Win10,3/15/2020,Default Group,N/A
H-IT-SPARE3.local.ecmh.org,-,Win10,4/15/2020,Default Group,N/A
H-ITSPARE001-L.local.ecmh.org,-,Win10,5/26/2020,Default Group,N/A
H-KJOHNSON-D.local.ecmh.org,-,Win10,4/29/2020,Default Group,N/A
H-LAB-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-LAB-C2.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-LAB-C4.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-LAB-C8.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-Laptop-Hoffman.local.ecmh.org,-,Win10,5/11/2020,Default Group,N/A
H-MM-C2.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-MM-C3.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-MS-C3.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-MS-C6.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-MS-C7.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-MS-C8.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-OPERA1-C1.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-OR-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-OR-C2.local.ecmh.org,-,Win10,5/18/2020,Default Group,N/A
H-OR-C4.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-OR-C5.local.ecmh.org,-,Win10,5/19/2020,Default Group,N/A
H-OR-C7.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-OR-C8.local.ecmh.org,-,Win7,5/18/2020,Default Group,N/A
H-PH-C1.local.ecmh.org,-,Win7,5/26/2020,Default Group,N/A
H-PHARM-ALEWIS.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-PHARMACIST.local.ecmh.org,-,Win10,5/20/2020,Default Group,N/A
H-PO-C1.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-PO-C2.local.ecmh.org,-,Win7,5/21/2020,Default Group,N/A
H-PT-C1.local.ecmh.org,-,Win10,5/19/2020,Default Group,N/A
H-PT-C5.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-PT-C8.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-RAD-C1.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-rad-c10.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-temp1-c5.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-temp1-c7.local.ecmh.org,-,Win10,Online,Default Group,N/A
H-WOW-GREEN.local.ecmh.org,-,Win10,5/15/2020,Default Group,N/A
h-wow-orange.local.ecmh.org,-,Win7,Online,Default Group,N/A
H-WOW-RED.local.ecmh.org,-,Win7,5/26/2020,Default Group,N/A
HealthPlex-Lab.local.ecmh.org,-,Win10,Online,No Firewall,N/A
helpdesk.local.ecmh.org,-,Win2003,12/16/2019,Default Group,N/A
HIM-Becky.local.ecmh.org,-,Win10,Online,Default Group,N/A
HIM-BOBBI.local.ecmh.org,-,Win10,Online,Default Group,N/A
HIM-JANE.local.ecmh.org,-,Win10,Online,Default Group,N/A
HIM-KAREN.local.ecmh.org,-,Win10,Online,Default Group,N/A
HIM-NICOLE.local.ecmh.org,-,Win10,Online,Default Group,N/A
HPlex-Lifland.local.ecmh.org,-,Win10,Online,Default Group,N/A
HPLX-BILLING-C1.local.ecmh.org,-,Win10,Online,Default Group,N/A
ILSTATION1.local.ecmh.org,-,Win10,Online,Default Group,N/A
ILSTATION2.local.ecmh.org,-,Win10,Online,Default Group,N/A
interqual.local.ecmh.org,Needs Restart,Win2008,5/18/2020,Default Group,N/A
IT-LOANER.local.ecmh.org,-,Win10,3/18/2020,Default Group,N/A
IT-VACANT-L.local.ecmh.org,-,Win10,4/2/2020,Default Group,N/A
