Device Name,Machine Name,Domain/Workgroup,Last Seen,Last Logged User,Last Reboot Time,IP Address,Customer Name,OS Type,OS Edition,OS Version,OS Build,Office,AntiVirus,Vendor,Motherboard,Model,Serial Number,Processor,Memory,Display,Sound,Harddrive,CDRom,Network Adapter,System Drive,MAC Addresses,Port 21,Port 25,Port 80,Port 443,Port 3389,Critical Patch,Security Patch,Service Pack Patch,Upgrade Patch,Optional Patches
RREC101,RREC101,WORKGROUP,"May 18, 2020 7:32:30 PM","RREC101\Exam Room (Since: May 18, 2020 8:20:45 AM)","May 14, 2020 12:24:53 PM",97.105.86.90/192.168.247.161;,Round Rock Eye Consultants,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,N/A,Windows Defender,Dell Inc.,Dell Inc. 04075X ,OptiPlex 3240 AIO,4DW0B02,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,Realtek High Definition Audio,ST500LM021-1KJ152 (465GB),PLDS DVD+-RW DU-8A5LH,"PPPoP WAN Adapter,Realtek PCIe GBE Family Controller,Intel(R) Dual Band Wireless-AC 8260,Bluetooth Device (Personal Area Network)",C,00:09:0F:FE:00:01 (Primary)A4:34:D9:22:EE:35 A4:34:D9:22:EE:39 F4:8E:38:D1:60:A4 ,0,0,0,0,1,0,1,2,0,2
RREC100,RREC100,WORKGROUP,"May 18, 2020 7:32:30 PM","RREC100\Exam Room (Since: May 18, 2020 8:18:55 AM)","May 14, 2020 12:25:22 PM",97.105.86.90/192.168.247.109;,Round Rock Eye Consultants,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,N/A,Windows Defender,Dell Inc.,Dell Inc. 04075X ,OptiPlex 3240 AIO,CCW0B02,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.9 GB,Intel(R) HD Graphics 530,Realtek High Definition Audio,ST500LM021-1KJ152 (465GB),PLDS DVD+-RW DU-8A5LH,"PPPoP WAN Adapter,Intel(R) Dual Band Wireless-AC 8260,Realtek PCIe GBE Family Controller,Bluetooth Device (Personal Area Network)",C,00:09:0F:FE:00:01 (Primary)A4:34:D9:22:F6:A0 A4:34:D9:22:F6:A4 F4:8E:38:D1:61:CA ,0,0,0,0,1,0,1,2,0,2
RREC105,RREC105,WORKGROUP,"May 19, 2020 12:12:42 AM","RREC105\Checkout (Since: May 18, 2020 7:23:09 AM)","May 13, 2020 10:33:43 PM",97.105.86.90/192.168.247.101;,Round Rock Eye Consultants,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Home & Business 2013, Build  15.0.5215.1000",Windows Defender,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,J8HS382,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,WDC WD5000AAKX-75U6A SCSI Disk Device (465GB),HL-DT-ST DVD+-RW GU90N,Realtek PCIe GBE Family Controller,C,00:09:0F:FE:00:01 64:00:6A:85:80:32 (Primary),0,0,0,0,1,0,1,2,0,0
RREC111,RREC111,WORKGROUP,"May 19, 2020 12:12:42 AM","RREC111\Office (Since: May 18, 2020 4:03:46 PM)","May 18, 2020 9:03:09 PM",97.105.86.90/192.168.247.150;,Round Rock Eye Consultants,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Home & Business 2013, Build  15.0.5233.1000",Windows Defender,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,793C8C2,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,ST500DM0 02-1SB10A SCSI Disk Device (465GB),PLDS DVD+-RW DU-8A5LH SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,00:09:0F:FE:00:01 18:66:DA:03:DA:9B (Primary),0,0,0,0,1,0,0,2,0,1
RREC109,RREC109,WORKGROUP,"May 19, 2020 12:12:45 AM","RREC109\Tech2 (Since: May 18, 2020 7:14:04 AM)","May 2, 2020 6:43:42 AM",97.105.86.90/192.168.247.104;,Round Rock Eye Consultants,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.778,"Microsoft Office Home & Business 2013, Build  15.0.5207.1000",Windows Defender,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,J8N7382,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,WDC WD5000AAKX-75U6A SCSI Disk Device (465GB),HL-DT-ST DVD+-RW GU90N,Realtek PCIe GBE Family Controller,C,00:09:0F:FE:00:01 64:00:6A:82:7A:9D (Primary),0,0,0,0,1,0,2,2,0,0
RREC108,RREC108,WORKGROUP,"May 19, 2020 12:12:43 AM","RREC108\Tech1 (Since: May 15, 2020 12:17:51 AM)","May 15, 2020 5:13:37 AM",97.105.86.90/192.168.247.110;,Round Rock Eye Consultants,Work Station,Microsoft Windows 10 Pro  x64,1909,18363.836,"Microsoft Office Home & Business 2013, Build  15.0.5215.1000",Windows Defender,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,J8PT382,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Intel(R) Display Audio,WDC WD5000AAKX-75U6A SCSI Disk Device (465GB),HL-DT-ST DVD+-RW GU90N,Realtek PCIe GBE Family Controller,C,00:09:0F:FE:00:01 64:00:6A:82:7A:73 (Primary),0,0,0,0,1,0,1,2,0,0
REV238DIA,REV238DIA,Reeves.rchd.org,"May 7, 2020 12:15:26 AM","REV238DIA\Everette (Since: Apr 13, 2020 7:56:46 AM)","April 13, 2020 12:55:11 PM",98.32.52.37/127.0.0.1;,Round Rock Eye Consultants,Work Station,Microsoft Windows 10 Pro  x64,1809,17763.379,"Microsoft Office Standard 2013, Build  15.0.4569.1506",Symantec Endpoint Protection,Microsoft Corporation,Microsoft Corporation Surface Book 2 ,Surface Book 2,035785794157,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz ,15.93 GB,NVIDIA GeForce GTX 1060,Intel(R) Display Audio,BA HFS256GD9TNG-62A0A (238GB),,"Xbox Wireless Adapter for Windows,Marvell AVASTAR Wireless-AC Network Controller,Bluetooth Device (Personal Area Network)",C,62:45:B5:17:AF:F2 (Primary)70:BC:10:7B:08:59 ,0,0,0,0,0,11,11,4,0,0
RREC106,RREC106,WORKGROUP,"May 19, 2020 12:12:46 AM","RREC106\Tech3 (Since: May 18, 2020 7:14:08 AM)","May 18, 2020 12:13:31 PM",97.105.86.90/192.168.247.105;,Round Rock Eye Consultants,Work Station,Microsoft Windows 7 Professional SP1 x64,6.1,7601,"Microsoft Office Home & Business 2013, Build  15.0.5207.1000",Microsoft Security Essentials,Dell Inc.,Dell Inc. 05XGC8 ,OptiPlex 3040,J8PQ382,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz ,7.88 GB,Intel(R) HD Graphics 530,Realtek High Definition Audio,WDC WD5000AAKX-75U6A SCSI Disk Device (465GB),HL-DT-ST DVD+-RW GU90N SCSI CdRom Device,Realtek PCIe GBE Family Controller,C,00:09:0F:FE:00:01 64:00:6A:82:7E:DD (Primary),0,0,0,0,1,0,2,6,0,3
