Computer Name,SentinelOne Y/N,SO Notes,Atera Y/N,Atera Notes,Screenconnect Y/N,OS Version,General Notes
CPPFMPC113,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:04 AM
CPPFMPC115,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:05 AM
CPPFMPC116,N,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online September 11 2020 1:13:21 PM
CPPFMPC117,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 3 2021 10:13:06 AM
CPPFMPC118,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 4 2021 3:33:32 PM
CPPFMPC119,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 11:32:50 AM
CPPFMPC120,Y,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online February 5 2021 10:14:04 AM
CPPFMTAB1,Y,,Y,,Y,Microsoft Windows 8.1  x64,Last online February 5 2021 10:14:03 AM
CPPFMTAB11,N,,N,,Y,-,
CPPFMTAB12,N,,N,,Y,-,
CPPFMTAB14,N,,Y,,Y,Microsoft Windows 10 Home  x64,Last online January 4 2021 8:14:30 AM
CPPFMTAB15,Y,,N,,Y,Windows 10 Home,
CPPFMTAB16,N,,N,,Y,-,
CPPFMTAB18,N,,N,,Y,-,
CPPFMTAB19,N,,Y,,Y,Microsoft Windows 8.1  x64,Last online February 5 2021 10:14:05 AM
CPPFMTAB20,Y,,Y,,Y,Microsoft Windows 8.1  x64,Last online February 3 2021 4:53:33 PM
CPPFMTAB3,N,,Y,,Y,Microsoft Windows 8.1  x64,Last online January 15 2021 8:53:52 AM
CPPFMTAB4,Y,,Y,,Y,Microsoft Windows 8.1  x64,Last online February 5 2021 10:14:05 AM
CPPFMTAB6,N,,N,,Y,-,
CPPFMVH1,Y,,N,,Y,Windows Server 2012 R2 Standard,
CPPFMVH2,Y,,N,,Y,Windows Server 2012 R2 Standard,
DESKTOP-C3G3VRQ,N,,N,,Y,-,
KING-PC02,N,,Y,,Y,Microsoft Windows 10 Pro  x64,Last online June 26 2020 12:19:08 PM
MATTHEWS-LPTP,N,,Y,,Y,Microsoft Windows 8.1  x64,Last online February 5 2021 10:14:03 AM
MEDSERVER,Y,,Y,,Y,Microsoft® Windows Server® 2008 Standard SP2,Last online February 5 2021 10:14:01 AM
NURSE-TAB_2,N,,N,,Y,-,
TESTTAB-02,N,,N,,Y,-,
VR-FRONT2,Y,,Y,,N,Microsoft Windows 7 Professional SP1 x64,Last online February 5 2021 2:28:00 PM
VR-FRONT2
,N,,N,,Y,-,
