Computer Alias,Action Required,OS,Last Connected,Group,Local Update Host
WMHLPT107,-,Win7,4/14/2020,Default Group,N/A
WMHLPT108,-,Win10,4/20/2020,Default Group,N/A
WMHLPT109,-,Win10,Online,Default Group,N/A
WMHLPT110,-,Win10,4/21/2020,Default Group,N/A
WMHLPT111,-,Win10,4/18/2020,Default Group,N/A
WMHLPT112,-,Win10,3/2/2020,Default Group,N/A
WMHLPT113,-,Win10,Online,Default Group,N/A
WMHLPT114,-,Win10,4/17/2020,Default Group,N/A
WMHLPT115,-,Win10,Online,Default Group,N/A
WMHMIDCLAB.wardmemorial.org,-,Win10,Online,Default Group,N/A
WMHMIDLAB.wardmemorial.org,-,Win10,Online,Default Group,N/A
WMHMOBILEONE.wardmemorial.org,-,Win10,Online,Default Group,N/A
WMHNOVANET.wardmemorial.org,-,Win2012,Online,Default Group,N/A
WMHNURMS.wardmemorial.org,-,Win10,Online,USB Drives Enabled,N/A
WMHPDC.wardmemorial.org,-,Win2012,Online,Default Group,N/A
WMHPHARJH.wardmemorial.org,-,Win10,Online,Default Group,N/A
WMHPHARPH.wardmemorial.org,-,Win10,Online,Default Group,N/A
WMHSD.wardmemorial.org,-,Win10,Online,Default Group,N/A
WMHTAB100.wardmemorial.org,-,Win10,4/21/2020,Default Group,N/A
WMHTAB101.wardmemorial.org,-,Win10,4/21/2020,Default Group,N/A
WMHTAB102.wardmemorial.org,-,Win10,Online,Default Group,N/A
WMHTAB104,-,Win10,4/21/2020,Default Group,N/A
WMHVH1,-,Win2012,Online,Default Group,N/A
WMHWSUS.wardmemorial.org,-,Win2008,Online,Default Group,N/A
